Rank,county,income,medianHouseholdIncome,medianFamilyIncome,population,numberHouseholds
35,Adams,23999,54666,62864,441603,153764
57,Alamosa,18820,35935,45742,15445,5995
15,Arapahoe,31898,58719,72459,572003,224011
31,Archuleta,25421,56068,65489,12084,5267
50,Baca,21472,36017,43466,3788,1685
64,Bent,16505,36412,43472,6499,1832
6,Boulder,36947,64839,87860,294567,119300
8,Broomfield,35836,75590,94135,55889,21414
30,Chaffee,26110,42941,54353,17809,7601
42,Cheyenne,22999,47125,68125,1836,786
12,Clear Creek,34506,60426,73134,9088,4208
61,Conejos,17541,33627,38950,8256,3118
63,Costilla,16525,24388,38005,3524,1550
56,Crowley,18966,38189,44095,5823,1306
29,Custer,26860,39909,48505,4255,1925
45,Delta,22080,40451,48395,30952,12703
18,Denver,30806,45501,57182,600158,263107
54,Dolores,19244,43058,49167,2064,899
4,Douglas,42418,99198,108613,285465,102018
7,Eagle,36753,71337,80621,52197,19236
10,El Paso,34782,78958,83074,622263,235959
27,Elbert,27945,56268,68813,23086,8380
55,Fremont,19083,37847,45664,46824,16582
25,Garfield,28457,64902,70123,56389,20359
13,Gilpin,33591,58036,82632,5441,2460
19,Grand,30055,60433,69395,14843,6469
24,Gunnison,28490,49356,69139,15324,6516
3,Hinsdale,43293,74659,88920,843,362
40,Huerfano,23139,30058,44401,6711,3137
36,Jackson,23814,37222,44286,1394,649
11,Jefferson,34714,66075,81136,534543,218160
43,Kiowa,22877,40089,58594,1398,619
51,Kit Carson,21086,41678,55742,8270,3038
52,La Plata,20437,41103,44934,7310,2953
21,Lake,29836,56422,69089,51334,21100
20,Larimer,30046,56447,73771,299630,120295
46,Las Animas,21887,38134,49347,15507,6384
39,Lincoln,23440,41616,54643,5467,1948
44,Logan,22564,40961,52169,22709,8047
28,Mesa,27067,52067,63049,146723,58095
2,Mineral,46358,53438,66071,712,355
34,Moffat,24563,53587,62074,13795,5465
33,Montezuma,24616,44103,52999,25535,10541
37,Montrose,23613,46590,52640,41276,16484
53,Morgan,20181,43111,48673,28159,10294
60,Otero,18056,34142,41269,18831,7729
22,Ouray,29051,58393,65804,4436,2022
16,Park,31663,64098,73815,16206,7174
38,Phillips,23453,44084,54583,4442,1819
1,Pitkin,64381,64502,103438,17148,8152
59,Prowers,18429,33969,47052,12551,4935
49,Pueblo,21609,40699,50503,159063,62972
26,Rio Blanco,28382,57992,68327,6666,2647
62,Rio Grande,17199,39871,48115,11982,4779
14,Routt,33079,60876,74547,23509,9892
58,Saguache,18686,30430,36988,6108,2640
17,San Juan,31232,43783,62917,699,344
5,San Miguel,38247,66399,82708,7359,3454
48,Sedgwick,21652,37625,52292,2379,1093
9,Summit,35770,68750,86701,27994,11754
23,Teller,28726,58080,68328,23350,9805
41,Washington,23125,39735,48965,4814,1980
32,Weld,24732,55596,64996,252825,89349
47,Yuma,21872,42114,48602,10043,3952